,postcode,borough,neighbourhood_list,latitude,longitude,merge_key,name,ven_categories,ven_latitude,ven_longitude,ven_postalcode
0,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Pho Com Viet Nam,Vietnamese,43.75663119859895,-79.51833633068185,M3N 2V3
1,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Pizza Hut,Pizza,43.75633958118749,-79.51781778764257,M3N 2V3
2,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,KFC,Fast Food,43.7566,-79.5181,M3N 2V3
3,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,The Beer Store,Beer Store,43.7560941,-79.5162392,M3N 2V3
4,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Subway,Sandwiches,43.75617104020033,-79.5182508987524,M3N 2V3
5,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Tim Hortons,Coffee Shop,43.75434420900222,-79.52702411134463,M3N 1N1
6,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Tim Hortons,Coffee Shop,43.7561284,-79.5162657,M3N 2K1
7,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Pho Mi Viet Hoa,Vietnamese,43.7519356619472,-79.51597892461835,M3N 2J5
8,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Planet Fitness,Gym / Fitness,43.757538,-79.51961,
9,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Hwy 400 at Finch W.,Road,43.75439885206936,-79.52696696364671,
10,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Jian Hing Supermarket,Grocery Store,43.75667320052111,-79.51844367991136,M3N 2K2
0,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1,Oakdale Golf and Country Club,Golf Course,43.727966085004844,-79.52231249726017,
1,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1,Commercial Bakeries,Bakery,43.7279474149062,-79.52232014925207,
2,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1,Hwy 401 & Hwy 400,Intersection,43.72797242773429,-79.5223015286055,
3,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1,auctionmaxx,Discount Store,43.72710081596881,-79.52517301758158,M9M 2W6
0,M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359,2,Trattoria Leonardo,Italian,43.65289339411601,-79.52529976414611,
1,M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359,2,Montgomery's Inn Museum,History Museum,43.651831023293425,-79.525597213862,
2,M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359,2,Kingsway Offleash Dig Park,Dog Run,43.651777088181596,-79.51748287861362,
