,venue,latitude,longitude,category,center_lat,center_long,center_dist
0,Farmer's Daughters',43.100435943197034,-73.65140916112152,Ice Cream,43.113489964343394,-73.67541113203539,
1,Saratoga Photobooth Company,43.107583,-73.667347,Event Services,43.113489964343394,-73.67541113203539,
2,Schuyler Park,43.100723168859005,-73.6531006753235,Baseball Field,43.113489964343394,-73.67541113203539,
3,HomeOwner-Helper,43.100733,-73.6981349,Construction,43.113489964343394,-73.67541113203539,
4,Lynn's Country Cafe,43.099279,-73.653703,Bakery,43.113489964343394,-73.67541113203539,
5,Schuyler Pond,43.092099,-73.680177,Antiques,43.113489964343394,-73.67541113203539,
0,CVS pharmacy,43.123904203509376,-73.73237795816651,Pharmacy,43.113841508731745,-73.7061315014156,
1,Stewart's Shops,43.12002508,-73.72589176,Convenience Store,43.113841508731745,-73.7061315014156,
2,Creative Caterers,43.108540000000005,-73.719305,Food,43.113841508731745,-73.7061315014156,
3,Primo,43.12010085925689,-73.72246425138009,Pizza,43.113841508731745,-73.7061315014156,
4,HomeOwner-Helper,43.100733,-73.6981349,Construction,43.113841508731745,-73.7061315014156,
5,Jones & 50 Wine & Liquor,43.12000978747662,-73.72575710932298,Liquor Store,43.113841508731745,-73.7061315014156,
0,Chipotle Mexican Grill,43.10386429442525,-73.7412460149917,Mexican,43.11418480782075,-73.7368524173167,
1,Osaka Sushi House,43.10828086871804,-73.7380480004221,Sushi,43.11418480782075,-73.7368524173167,
2,Benson's Pet Shop,43.106868,-73.736914,Pet Store,43.11418480782075,-73.7368524173167,
3,Moe's Southwest Grill,43.10802984060483,-73.73816313406117,Mexican,43.11418480782075,-73.7368524173167,
4,Healthy Living Market and Cafe,43.10280721652092,-73.7388184092642,Supermarket,43.11418480782075,-73.7368524173167,
5,T.J. Maxx,43.1079828,-73.7389709,Department Store,43.11418480782075,-73.7368524173167,
6,Bed Bath & Beyond,43.1063648,-73.74159420000002,Furniture / Home,43.11418480782075,-73.7368524173167,
7,Hattie's Chicken Shack,43.103888,-73.741483,Fried Chicken,43.11418480782075,-73.7368524173167,
8,Ninety Nine Restaurant,43.105357,-73.739621,American,43.11418480782075,-73.7368524173167,
9,TGI Fridays,43.105377,-73.74188000000002,American,43.11418480782075,-73.7368524173167,
10,Panera Bread,43.10656741304688,-73.74012193176895,Bakery,43.11418480782075,-73.7368524173167,
11,Saratoga Regional YMCA - Wilton Branch,43.1057559207088,-73.75000654941685,Gym / Fitness,43.11418480782075,-73.7368524173167,
12,Five Guys,43.10407939733499,-73.74128362676647,Burgers,43.11418480782075,-73.7368524173167,
13,Bath & Body Works,43.102089823618336,-73.7375561025603,Cosmetics,43.11418480782075,-73.7368524173167,
14,Victoria's Secret PINK,43.10218292140998,-73.73755751201426,Lingerie,43.11418480782075,-73.7368524173167,
15,Ulta Beauty,43.1034262,-73.73811740000002,Cosmetics,43.11418480782075,-73.7368524173167,
16,Victoria's Secret,43.10191,-73.73830799999998,Lingerie,43.11418480782075,-73.7368524173167,
17,PetSmart,43.0993467,-73.7432517,Pet Store,43.11418480782075,-73.7368524173167,
18,Eastern Mountain Sports,43.10677560174947,-73.74152613730743,Sporting Goods,43.11418480782075,-73.7368524173167,
19,Gavin Park,43.118820409117745,-73.74985137658372,Park,43.11418480782075,-73.7368524173167,
20,Jersey Mike's Subs,43.104112,-73.74114200000002,Sandwiches,43.11418480782075,-73.7368524173167,
21,Zumiez,43.10166574106185,-73.7375217699485,Apparel,43.11418480782075,-73.7368524173167,
22,Menchie's,43.1073776433756,-73.73954860022602,Yogurt,43.11418480782075,-73.7368524173167,
23,Barnes & Noble,43.101210499510564,-73.74487618349727,Bookstore,43.11418480782075,-73.7368524173167,
24,American Eagle Outfitters,43.1024,-73.737039,Apparel,43.11418480782075,-73.7368524173167,
25,Planet Fitness - Temporarily Closed,43.10232346947643,-73.73834648937999,Gym / Fitness,43.11418480782075,-73.7368524173167,
26,EXPRESS,43.101889,-73.738004,Apparel,43.11418480782075,-73.7368524173167,
27,Market32,43.10278947993603,-73.74265634396555,Grocery Store,43.11418480782075,-73.7368524173167,
28,Bow Tie Cinemas,43.101554698606655,-73.73747143829047,Movie Theater,43.11418480782075,-73.7368524173167,
29,Caputo's Pizzeria,43.09949555342101,-73.7420814070078,Pizza,43.11418480782075,-73.7368524173167,
30,BJ's Wholesale Club,43.09988517601328,-73.73598038925064,Warehouse Store,43.11418480782075,-73.7368524173167,
31,Auntie Anne's,43.10209717918593,-73.73760892101531,Snacks,43.11418480782075,-73.7368524173167,
32,Lowe's,43.1051638,-73.7461469,Hardware,43.11418480782075,-73.7368524173167,
33,Friendly's,43.105804,-73.739097,Restaurant,43.11418480782075,-73.7368524173167,
34,Starbucks,43.102771,-73.74216,Coffee Shop,43.11418480782075,-73.7368524173167,
35,Pixie Stix,43.10215958558332,-73.73764454606203,Coffee Shop,43.11418480782075,-73.7368524173167,
36,Comfort Inn & Suites,43.103344,-73.7513895,Hotel,43.11418480782075,-73.7368524173167,
37,Golden Corral,43.10241096955996,-73.75078986098714,Buffet,43.11418480782075,-73.7368524173167,
38,SUBWAY,43.1040778,-73.7484515,Sandwiches,43.11418480782075,-73.7368524173167,
39,Hot Topic,43.10195543036693,-73.73755230704099,Apparel,43.11418480782075,-73.7368524173167,
40,Target,43.099386338869984,-73.74380999510059,Big Box Store,43.11418480782075,-73.7368524173167,
41,DICK'S Sporting Goods,43.10369571563835,-73.73768488861936,Sporting Goods,43.11418480782075,-73.7368524173167,
42,Yankee Candle,43.102156,-73.738192,Gift Shop,43.11418480782075,-73.7368524173167,
43,Forever 21,43.10213987494286,-73.73750101484427,Apparel,43.11418480782075,-73.7368524173167,
44,GameStop,43.099789438484976,-73.74204704091645,Video Games,43.11418480782075,-73.7368524173167,
45,Pac Sun,43.102153056868325,-73.73799585540645,Apparel,43.11418480782075,-73.7368524173167,
46,Kohl's,43.096103,-73.74458800000002,Department Store,43.11418480782075,-73.7368524173167,
47,CVS pharmacy,43.123904203509376,-73.73237795816651,Pharmacy,43.11418480782075,-73.7368524173167,
48,Sunglass Hut,43.1020809,-73.73761440000001,Accessories,43.11418480782075,-73.7368524173167,
49,Supercuts,43.099888257026265,-73.74217022873074,Salon / Barbershop,43.11418480782075,-73.7368524173167,
50,McGregor Links Country Club,43.13358555357328,-73.75100631186803,Golf Course,43.11418480782075,-73.7368524173167,
51,The Childrens Place,43.10289063922728,-73.7377385208742,Kids Store,43.11418480782075,-73.7368524173167,
52,Hannaford Supermarket,43.0968971,-73.7467575,Supermarket,43.11418480782075,-73.7368524173167,
53,GNC,43.09991748839673,-73.7419080734253,Supplement Shop,43.11418480782075,-73.7368524173167,
54,Maurices,43.102156,-73.738192,Women's Store,43.11418480782075,-73.7368524173167,
55,Home Goods,43.10223321073312,-73.73913224235628,Furniture / Home,43.11418480782075,-73.7368524173167,
56,Walmart Pharmacy,43.1027788336795,-73.750239036837,Pharmacy,43.11418480782075,-73.7368524173167,
57,BWP Your Local Bar & Grille,43.09437493037422,-73.74340404106769,American,43.11418480782075,-73.7368524173167,
58,Denny's,43.09767502153361,-73.74761313199997,Breakfast,43.11418480782075,-73.7368524173167,
59,Red Robin Gourmet Burgers and Brews,43.09899783,-73.74959172,Restaurant,43.11418480782075,-73.7368524173167,
60,Citizens Bank Supermarket Branch,43.09682697554568,-73.747082054615,Bank,43.11418480782075,-73.7368524173167,
61,Stewart's Shops,43.12002508,-73.72589176,Convenience Store,43.11418480782075,-73.7368524173167,
62,Hess Express,43.09854093424117,-73.75000742775836,Gas Station,43.11418480782075,-73.7368524173167,
63,Dunkin',43.1001782,-73.7486876,Donuts,43.11418480782075,-73.7368524173167,
64,Jones & 50 Wine & Liquor,43.12000978747662,-73.72575710932298,Liquor Store,43.11418480782075,-73.7368524173167,
65,Primo,43.12010085925689,-73.72246425138009,Pizza,43.11418480782075,-73.7368524173167,
66,Walmart Supercenter,43.104011473797904,-73.74898373424425,Big Box Store,43.11418480782075,-73.7368524173167,
67,Creative Caterers,43.10854000000001,-73.719305,Food,43.11418480782075,-73.7368524173167,
68,Taco Bell,43.099506235380176,-73.7490231449371,Fast Food,43.11418480782075,-73.7368524173167,
69,Hannaford Pharmacy,43.09678192889447,-73.747082054615,Pharmacy,43.11418480782075,-73.7368524173167,
70,APlus at Sunoco,43.098889826742756,-73.74823607391393,Coffee Shop,43.11418480782075,-73.7368524173167,
71,Danielle's Bridal,43.094592,-73.744442,Bridal,43.11418480782075,-73.7368524173167,
72,Saratoga Book Warehouse,43.09384928528215,-73.74034158224238,Bookstore,43.11418480782075,-73.7368524173167,
